repeat,reactTime,image category,image filename,trial number,type,response,correct
False,0,feather,feather_1.png,1,unrelated,NA,1
False,0,chips,chips_1.png,2,unrelated,NA,1
False,0,sushi,sushi_1.png,3,unrelated,NA,1
False,0,candy,candy_1.png,4,unrelated,NA,1
False,0,tape,tape_1.png,5,unrelated,NA,1
False,0,crib,crib_1.png,6,unrelated,NA,1
False,0,starfish,starfish_1.png,7,unrelated,NA,1
False,0,accordion,accordion_1.png,8,unrelated,NA,1
False,0,fridge,fridge_1.png,9,unrelated,NA,1
False,0,ball,ball_1.png,10,unrelated,NA,1
False,0,tee,tee_1.png,11,homophone,NA,1
True,0.4020259999999922,lamp,lamp_1.png,12,unrelated,space,1
False,0,bicycle,bicycle_1.png,13,unrelated,NA,1
False,0,tent,tent_1.png,14,unrelated,NA,1
False,0,pillow,pillow_1.png,15,unrelated,NA,1
False,0,bear,bear_1.png,16,nonOrthoRhyme,NA,1
False,0,barrel,barrel_1.png,17,unrelated,NA,1
False,0,corkscrew,corkscrew_1.png,18,unrelated,NA,1
False,0,mouse-comp,mouse-comp_1.png,19,homonym,NA,1
False,0,cane,cane_1.png,20,unrelated,NA,1
False,0,deer,deer_1.png,21,orthoRhyme,NA,1
False,0,leaf,leaf_1.png,22,unrelated,NA,1
False,0,pizza,pizza_1.png,23,unrelated,NA,1
